COUNTY_NAME,POPULATION,STATE
"PAYETTE COUNTY, ID",22623,ID
"POWER COUNTY, ID",7817,ID
"SHOSHONE COUNTY, ID",12765,ID
"TETON COUNTY, ID",10170,ID
"TWIN FALLS COUNTY, ID",77230,ID
"VALLEY COUNTY, ID",9862,ID
"WASHINGTON COUNTY, ID",10198,ID
"ADAMS COUNTY, MS",32297,MS
"ALCORN COUNTY, MS",37057,MS
"AMITE COUNTY, MS",13131,MS
"ATTALA COUNTY, MS",19564,MS
"BENTON COUNTY, MS",8729,MS
"BOLIVAR COUNTY, MS",34145,MS
"CALHOUN COUNTY, MS",14962,MS
"CARROLL COUNTY, MS",10597,MS
"CHICKASAW COUNTY, MS",17392,MS
"CHOCTAW COUNTY, MS",8547,MS
"CLAIBORNE COUNTY, MS",9604,MS
"CLARKE COUNTY, MS",16732,MS
"CLAY COUNTY, MS",20634,MS
"COAHOMA COUNTY, MS",26151,MS
"COPIAH COUNTY, MS",29449,MS
"COVINGTON COUNTY, MS",19568,MS
"DESOTO COUNTY, MS",161252,MS
"FORREST COUNTY, MS",74934,MS
"FRANKLIN COUNTY, MS",8118,MS
"GEORGE COUNTY, MS",22578,MS
"GREENE COUNTY, MS",14400,MS
"GRENADA COUNTY, MS",21906,MS
"HANCOCK COUNTY, MS",43929,MS
"HARRISON COUNTY, MS",187105,MS
"HINDS COUNTY, MS",245285,MS
"HOLMES COUNTY, MS",19198,MS
"HUMPHREYS COUNTY, MS",9375,MS
"ISSAQUENA COUNTY, MS",1406,MS
"ITAWAMBA COUNTY, MS",23401,MS
"JACKSON COUNTY, MS",139668,MS
"JASPER COUNTY, MS",17062,MS
"JEFFERSON COUNTY, MS",7726,MS
"JEFFERSON DAVIS COUNTY, MS",12487,MS
"JONES COUNTY, MS",67761,MS
"KEMPER COUNTY, MS",10456,MS
"LAFAYETTE COUNTY, MS",47351,MS
"LAMAR COUNTY, MS",55658,MS
"LAUDERDALE COUNTY, MS",80261,MS
"LAWRENCE COUNTY, MS",12929,MS
"LEAKE COUNTY, MS",23805,MS
"LEE COUNTY, MS",82910,MS
"LEFLORE COUNTY, MS",32317,MS
"LINCOLN COUNTY, MS",34869,MS
"LOWNDES COUNTY, MS",59779,MS
"MADISON COUNTY, MS",95203,MS
"MARION COUNTY, MS",27088,MS
"MARSHALL COUNTY, MS",37144,MS
"MONROE COUNTY, MS",36989,MS
"MONTGOMERY COUNTY, MS",10925,MS
"NESHOBA COUNTY, MS",29676,MS
"NEWTON COUNTY, MS",21720,MS
"NOXUBEE COUNTY, MS",11545,MS
"OKTIBBEHA COUNTY, MS",47671,MS
"PANOLA COUNTY, MS",34707,MS
"PEARL RIVER COUNTY, MS",55834,MS
"PERRY COUNTY, MS",12250,MS
"PIKE COUNTY, MS",40404,MS
"PONTOTOC COUNTY, MS",29957,MS
"PRENTISS COUNTY, MS",25276,MS
"QUITMAN COUNTY, MS",8223,MS
"RANKIN COUNTY, MS",141617,MS
"SCOTT COUNTY, MS",28264,MS
"SHARKEY COUNTY, MS",4916,MS
"SIMPSON COUNTY, MS",27503,MS
"SMITH COUNTY, MS",16491,MS
"STONE COUNTY, MS",17786,MS
"SUNFLOWER COUNTY, MS",29450,MS
"TALLAHATCHIE COUNTY, MS",15378,MS
"TATE COUNTY, MS",28886,MS
"TIPPAH COUNTY, MS",22232,MS
"TISHOMINGO COUNTY, MS",19593,MS
"TUNICA COUNTY, MS",10778,MS
"UNION COUNTY, MS",27134,MS
"WALTHALL COUNTY, MS",15443,MS
"WARREN COUNTY, MS",48773,MS
"WASHINGTON COUNTY, MS",51137,MS
"WAYNE COUNTY, MS",20747,MS
"WEBSTER COUNTY, MS",10253,MS
"WILKINSON COUNTY, MS",9878,MS
"WINSTON COUNTY, MS",19198,MS
"YALOBUSHA COUNTY, MS",12678,MS
"YAZOO COUNTY, MS",28065,MS
"BERNALILLO COUNTY, NM",662564,NM
"CATRON COUNTY, NM",3725,NM
"CHAVES COUNTY, NM",65645,NM
"CIBOLA COUNTY, NM",27213,NM
"COLFAX COUNTY, NM",13750,NM
"CURRY COUNTY, NM",48376,NM
"DEBACA COUNTY, NM",2022,NM
"DONA ANA COUNTY, NM",209233,NM
"EDDY COUNTY, NM",53829,NM
"GRANT COUNTY, NM",29514,NM
"GUADALUPE COUNTY, NM",4687,NM
"HARDING COUNTY, NM",695,NM
"HIDALGO COUNTY, NM",4894,NM
"LEA COUNTY, NM",64727,NM
"LINCOLN COUNTY, NM",20497,NM
"LOS ALAMOS COUNTY, NM",17950,NM
"LUNA COUNTY, NM",25095,NM
"MCKINLEY COUNTY, NM",71492,NM
"MORA COUNTY, NM",4881,NM
"OTERO COUNTY, NM",63797,NM
"QUAY COUNTY, NM",9041,NM
"RIO ARRIBA COUNTY, NM",40246,NM
"ROOSEVELT COUNTY, NM",19846,NM
"SANDOVAL COUNTY, NM",131561,NM
"SAN JUAN COUNTY, NM",130044,NM
"SAN MIGUEL COUNTY, NM",29393,NM
"SANTA FE COUNTY, NM",144170,NM
"SIERRA COUNTY, NM",11988,NM
"SOCORRO COUNTY, NM",17866,NM
"TAOS COUNTY, NM",32937,NM
"TORRANCE COUNTY, NM",16383,NM
"UNION COUNTY, NM",4549,NM
"VALENCIA COUNTY, NM",76569,NM
"ALBANY COUNTY, NY",304204,NY
"ALLEGANY COUNTY, NY",48946,NY
"BRONX COUNTY, NY",1385108,NY
"BROOME COUNTY, NY",200600,NY
"CATTARAUGUS COUNTY, NY",80317,NY
"CAYUGA COUNTY, NY",80026,NY
"CHAUTAUQUA COUNTY, NY",134905,NY
"CHEMUNG COUNTY, NY",88830,NY
"CHENANGO COUNTY, NY",50477,NY
"CLINTON COUNTY, NY",82128,NY
"COLUMBIA COUNTY, NY",63096,NY
"CORTLAND COUNTY, NY",49336,NY
"DELAWARE COUNTY, NY",47980,NY
"DUTCHESS COUNTY, NY",297488,NY
"ERIE COUNTY, NY",919040,NY
"ESSEX COUNTY, NY",39370,NY
"FRANKLIN COUNTY, NY",51599,NY
"FULTON COUNTY, NY",55531,NY
"GENESEE COUNTY, NY",60079,NY
"GREENE COUNTY, NY",49221,NY
"HAMILTON COUNTY, NY",4836,NY
"HERKIMER COUNTY, NY",64519,NY
"JEFFERSON COUNTY, NY",116229,NY
"KINGS COUNTY, NY",2504700,NY
"LEWIS COUNTY, NY",27087,NY
"LIVINGSTON COUNTY, NY",65393,NY
"MADISON COUNTY, NY",73442,NY
"MONROE COUNTY, NY",744344,NY
"MONTGOMERY COUNTY, NY",50219,NY
"NASSAU COUNTY, NY",1339532,NY
"NEW YORK COUNTY, NY",1585873,NY
"NIAGARA COUNTY, NY",216469,NY
"ONEIDA COUNTY, NY",234878,NY
"ONONDAGA COUNTY, NY",467026,NY
"ONTARIO COUNTY, NY",107931,NY
"ORANGE COUNTY, NY",372813,NY
"ORLEANS COUNTY, NY",42883,NY
"OSWEGO COUNTY, NY",122109,NY
"OTSEGO COUNTY, NY",62259,NY
"PUTNAM COUNTY, NY",99710,NY
"QUEENS COUNTY, NY",2230722,NY
"RENSSELAER COUNTY, NY",159429,NY
"RICHMOND COUNTY, NY",468730,NY
"ROCKLAND COUNTY, NY",311687,NY
"ST. LAWRENCE COUNTY, NY",111944,NY
"SARATOGA COUNTY, NY",219607,NY
"SCHENECTADY COUNTY, NY",154727,NY
"SCHOHARIE COUNTY, NY",32749,NY
"SCHUYLER COUNTY, NY",18343,NY
"SENECA COUNTY, NY",35251,NY
"STEUBEN COUNTY, NY",98990,NY
"SUFFOLK COUNTY, NY",1493350,NY
"SULLIVAN COUNTY, NY",77547,NY
"TIOGA COUNTY, NY",51125,NY
"TOMPKINS COUNTY, NY",101564,NY
"ULSTER COUNTY, NY",182493,NY
"WARREN COUNTY, NY",65707,NY
"WASHINGTON COUNTY, NY",63216,NY
"WAYNE COUNTY, NY",93772,NY
"WESTCHESTER COUNTY, NY",949113,NY
"WYOMING COUNTY, NY",42155,NY
"YATES COUNTY, NY",25348,NY
"ADAIR COUNTY, OK",22683,OK
"ALFALFA COUNTY, OK",5642,OK
"ATOKA COUNTY, OK",14182,OK
"BEAVER COUNTY, OK",5636,OK
"BECKHAM COUNTY, OK",22119,OK
"BLAINE COUNTY, OK",11943,OK
"BRYAN COUNTY, OK",42416,OK
"CADDO COUNTY, OK",29600,OK
"CANADIAN COUNTY, OK",115541,OK
"CARTER COUNTY, OK",47557,OK
"CHEROKEE COUNTY, OK",46987,OK
"CHOCTAW COUNTY, OK",15205,OK
"CIMARRON COUNTY, OK",2475,OK
"CLEVELAND COUNTY, OK",255755,OK
"COAL COUNTY, OK",5925,OK
"COMANCHE COUNTY, OK",124098,OK
"COTTON COUNTY, OK",6193,OK
